,id,행정동,coordinates,인구수,장애등록인원,고령인구수,복지시설밀도,건물3유형,건물2유형,전동휠체어충전소,전동휠체어충전소_bin,Predictions,XGBoost Predictions,SVM Predictions,KNN Predictions,Random Forest Predictions,Decision Tree Predictions,AdaBoost Predictions,LightGBM Predictions,Gradient Boosting Predictions,scaled_Predictions
671,890,하대동,"[[128.1041604503879, 35.194817083351765], [128.10419383334937, 35.19932540593701], [128.10968622898795, 35.19929787664345], [128.1096525426059, 35.19478955862938], [128.1041604503879, 35.194817083351765]]",18.0,63.45454545,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
689,910,상평동,"[[128.10948422285517, 35.17224791769636], [128.1095178718562, 35.176756252664], [128.1150087435922, 35.17672849733499], [128.11497479150887, 35.17222016697737], [128.10948422285517, 35.17224791769636]]",931.0,32.45454545,276.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
691,914,가좌동,"[[128.10382702817193, 35.14973367104815], [128.10386033708545, 35.15424202753071], [128.10934970154722, 35.154214543926415], [128.10931608988605, 35.14970619201005], [128.10382702817193, 35.14973367104815]]",1011.0,24.4516129,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
669,888,금곡면,"[[128.17451524043102, 35.068207179459485], [128.17455233635835, 35.072715534447234], [128.1800361597538, 35.07268490987026], [128.1799987623088, 35.068176559975846], [128.17451524043102, 35.068207179459485]]",8.0,1.632183908,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
702,932,미천면,"[[128.14342359261005, 35.29830898466102], [128.1434592812868, 35.30281719626042], [128.148958620169, 35.30278781139809], [128.14892262653018, 35.298279604671514], [128.14342359261005, 35.29830898466102]]",30.0,1.901639344,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
711,942,금곡면,"[[128.18026071890543, 35.0997349379839], [128.18029817452802, 35.10424326412552], [128.18578410210446, 35.104212355669496], [128.185746344497, 35.09970403466632], [128.18026071890543, 35.0997349379839]]",63.0,1.632183908,31.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1,1,대곡면,"[[128.15959160380584, 35.25764617001039], [128.15962813428564, 35.26215439746188], [128.16512470680982, 35.26212430744585], [128.16508787198202, 35.25761608498667], [128.15959160380584, 35.25764617001039]]",56.0,2.068181818,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
709,940,내동면,"[[128.0543945706774, 35.14546139438553], [128.05442514799932, 35.14996979348919], [128.05991427385598, 35.149944552244015], [128.05988339383947, 35.14543615733429], [128.0543945706774, 35.14546139438553]]",0.0,1.2125,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0
707,938,대평면,"[[127.95607305638956, 35.23153345391663], [127.95609829121385, 35.23604185725087], [127.96159329347769, 35.23602102620148], [127.96156775465427, 35.23151262632466], [127.95607305638956, 35.23153345391663]]",309.0,2.740740741,140.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
706,937,정촌면,"[[128.15297629813023, 35.117919116521364], [128.15301227574437, 35.12242745416977], [128.15849945288844, 35.122397767043935], [128.15846317301208, 35.11788943432981], [128.15297629813023, 35.117919116521364]]",24.0,4.276923077,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
